img_idx,true_label,final_pred,success,queries,l2_norm,init_p,final_p
0,0,394,True,100.0,2.116483211517334,0.6391485,0.22395208
1,0,30,True,1923.0,7.297983646392822,0.90529543,0.28972343
2,0,391,True,103.0,2.3982908725738525,0.76952034,0.31544387
3,0,389,True,2460.0,7.9582977294921875,0.92439884,0.30104417
4,0,25,True,2183.0,8.633187294006348,0.9090063,0.35617793
5,0,758,True,1362.0,6.172784328460693,0.86287016,0.3171094
6,0,284,True,2405.0,6.887176513671875,0.917194,0.41565204
7,0,102,True,7077.0,11.716586112976074,0.9266656,0.25509802
8,0,328,True,4591.0,8.852582931518555,0.89751905,0.28223965
9,0,389,True,3182.0,9.633079528808594,0.91249585,0.32878983
10,0,133,True,0.0,0.0,0.00037340852,0.00037340852
11,0,616,True,3608.0,10.141718864440918,0.89153075,0.22119907
12,0,389,True,1213.0,6.2297892570495605,0.9156251,0.31354594
13,0,533,True,1565.0,5.932292938232422,0.91991085,0.44984138
14,0,58,True,4626.0,11.899073600769043,0.9156408,0.21609475
15,0,12,True,3332.0,7.826735496520996,0.92506695,0.374777
